,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2,0j,0j,(1.5419242100180046+3.428349608144849j),0j,0j,(0.014214053661282592+0.046516767866648774j),0j,0j,0j,0j,0j,0j,0j,0j,0j
3,0j,(1.5419242100180046-3.428349608144849j),0j,0j,(-0.17953176642491833-0.006584623931291664j),0j,(0.17953176642491855+0.006584623931291915j),0j,0j,0j,0j,0j,0j,0j,0j
4,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5,0j,0j,(-0.17953176642491833+0.006584623931291664j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6,0j,(0.014214053661282592-0.046516767866648774j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7,0j,0j,(0.17953176642491855-0.006584623931291915j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
9,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
13,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
14,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
